ID_VERTICE,LONGITUDE,LATITUDE
238,116.3779386,39.898622
239,116.3779449,39.8984511
240,116.378021,39.8973413
241,116.3781691,39.8950772
242,116.3783133,39.8941069
243,116.3783954,39.8929607
244,116.3784502,39.8901998
245,116.3784577,39.8899761
246,116.3784696,39.8891699
247,116.3945787,39.9933535
248,116.3947859,39.9932058
249,116.3982942,39.9933848
250,116.3971934,39.9932512
251,116.397173,39.9920935
252,116.3972082,39.9886984
253,116.3939401,40.0082142
254,116.3940184,40.0058245
255,116.3940224,40.0057032
256,116.3940971,40.0037083
257,116.3942037,40.0011423
258,116.3942278,40.0008476
259,116.3944087,39.9967993
260,116.3944137,39.9967236
261,116.3945481,39.9942573
262,116.3946049,39.9900848
263,116.3946717,39.9889565
264,116.394698,39.9885124
265,116.3947152,39.9882112
266,116.3947548,39.9871227
267,116.3640579,39.9859264
268,116.3660573,39.9859732
269,116.3666359,39.9859803
270,116.3703753,39.9860603
271,116.3715515,39.9861182
272,116.4020469,39.9476009
273,116.4053914,39.9476591
274,116.4006158,39.9064589
275,116.4004717,39.9066321
276,116.4025943,39.9319029
277,116.402742,39.928492
278,116.4028883,39.9258827
279,116.3944101,39.9809973
280,116.393981,39.9813656
281,116.391715,39.9809118
282,116.3921665,39.9813912
283,116.4020434,39.9477159
284,116.3980371,39.9477018
285,116.3944993,39.9476649
286,116.3919667,39.9476426
287,116.4207538,39.9071036
288,116.4207564,39.9069416
289,116.3898245,39.8986247
290,116.3934817,39.8987479
291,116.3985895,39.8992743
292,116.4025886,39.9320171
293,116.3897402,39.9387626
294,116.3898366,39.9369575
295,116.3898843,39.9360646
296,116.389933,39.9351535
297,116.389949,39.9348549
298,116.3900969,39.9320767
299,116.3968507,39.93868
300,116.3980109,39.9386664
301,116.3978159,39.9377192
302,116.4645492,39.9530732
303,116.4650889,39.9512556
304,116.4194294,39.93965
305,116.4194138,39.9395643
306,116.4304239,39.9322423
307,116.4304387,39.9302262
308,116.4304418,39.9296898
309,116.4305966,39.9288653
310,116.4311742,39.9271075
311,116.4313342,39.9262529
312,116.4313674,39.9255377
313,116.48418,39.9323792
314,116.489314,39.9329221
315,116.4893947,39.932945
316,116.4958798,39.9347876
317,116.4960018,39.9348238
318,116.4758619,39.9299446
319,116.4723082,39.9298801
320,116.4721529,39.9298726
321,116.4787335,39.9300219
322,116.4787036,39.9323714
323,116.3875497,39.9477585
324,116.387072,39.9477533
325,116.3839776,39.9477155
326,116.3778339,39.9476721
327,116.3763325,39.947658
328,116.3759581,39.947647
329,116.3754448,39.9476317
330,116.4558657,39.9028678
331,116.4558517,39.9029669
332,116.4558045,39.9032396
333,116.4560142,39.9050642
334,116.4559413,39.9065506
335,116.4559464,39.906734
336,116.4198543,39.9679148
337,116.4229966,39.9679993
338,116.4249928,39.9680502
339,116.4559045,39.9457205
340,116.4564082,39.9457607
341,116.4613558,39.9466478
342,116.4836967,39.9151322
343,116.4836822,39.9112532
344,116.4837025,39.9090087
345,116.3558827,39.8298219
346,116.3503875,39.8297809
347,116.346358,39.829808
348,116.3048956,39.8293738
349,116.3021895,39.8293952
350,116.2945688,39.8293786
351,116.2693104,39.9276514
352,116.269154,39.9295989
353,116.2688978,39.9316123
354,116.3377919,39.9848877
355,116.3382031,39.9849148
356,116.342642,39.985083
357,116.3445352,39.9851534
358,116.3451775,39.9851828
359,116.3983984,39.9674703
360,116.3978355,39.9674671
361,116.3467723,39.9663991
362,116.3436266,39.9663756
363,116.3422763,39.9663621
364,116.3038187,39.9449589
365,116.3038356,39.9438825
366,116.3124355,39.8548184
367,116.312964,39.8542364
368,116.3814123,39.8556009
369,116.382394,39.8555991
370,116.5030182,39.9713484
371,116.502962,39.9713277
372,116.5024777,39.9711493
373,116.4970377,39.970586
374,116.4937697,39.9706513
375,116.4934797,39.9706528
376,116.49144,39.9706497
377,116.4868724,39.9706363
378,116.4838136,39.9711655
379,116.4836771,39.9712808
380,116.480644,39.9732573
381,116.4799799,39.97369
382,116.4793578,39.9740929
383,116.4787717,39.9744853
384,116.4780283,39.974983
385,116.4779186,39.9750498
386,116.4753841,39.9766775
387,116.474692,39.9771386
388,116.4741663,39.9774895
389,116.47353,39.9779128
390,116.4262556,39.9686046
